241,taste,rum,roast,garlic,water,round,powder,de,salt,pepper,rump,and,black,c,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,ice,onion,vine,mapl,dark,seed,fluid,white,syrup,tea,thyme,co,beer,caraway,de,dri,red,sauce,sauc,vinegar,bratwurst,slice,lettuc,lettuce,cheese,bun,link,maple,split,chees,and,bottle,c,,,,,,,,,,,,,,,,,,,,,,,,
88,oil,ice,nut,chocolate,cinnamon,nutmeg,white,tea,co,round,powder,de,sugar,salt,sweet,baking,chip,puree,pumpkin,cola,flour,slice,semisweet,miniature,king,gin,almond,molass,pure,veget,egg,ginger,c,soda,chocol,ground,,,,,,,,,,,,,,,,,,,,,
313,oil,fresh,chopped,minc,weed,garlic,white,tea,round,heavy,food,salt,shallot,oliv,wine,fillet,clove,cream,pepper,chop,black,dill,salmon,c,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,chocolate,cinnamon,vanilla,white,tea,co,round,powder,de,sugar,salt,extract,baking,chip,cocoa,zucchini,cola,flour,king,margarin,clove,egg,of,margarine,gra,c,soda,chocol,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,oil,pineapple,coconut,chopped,nut,cinnamon,white,tea,co,flake,round,apple,pine,sugar,salt,baking,puree,flour,pineappl,king,carrot,walnut,pure,veget,appl,egg,and,chop,c,soda,ground,,,,,,,,,,,,,,,,,,,,,,,,,,
299,oil,fresh,vine,seed,minc,balsam,tea,thyme,co,bone,de,berry,reduced-sodium,sugar,sodium,seedless,broth,red,cornstarch,oliv,fat,vinegar,boneless,breast,spread,star,blackberry,corn,fruit,skinless,black,c,chicken,,,,,,,,,,,,,,,,,,,,,,,,
418,oil,ice,juic,mapl,ju,minc,garlic,syrup,tea,low-sodium,lemon,juice,sodium,sauce,sauc,slice,firm,clove,maple,pure,veget,chive,tofu,of,package,fir,garnish,garni,c,soy,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,rum,chopped,nut,dark,cinnamon,nutmeg,white,milk,tea,co,round,apple,powder,de,sugar,salt,sweet,baking,sauce,sauc,cocoa,flour,king,appl,applesauce,chop,butter,raisin,pecan,c,soda,ground,,,,,,,,,,,,,,,,,,,,,,,,,
281,taste,onion,chopped,vine,mustard,garlic,white,tea,mayonnais,powder,de,celery,red,mayonnaise,paprika,vinegar,egg,star,chop,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,oil,cayenne,seasoning,fresh,loaf,minc,garlic,cube,tea,baguett,round,de,baguette,season,salt,oliv,paprika,cayenn,bread,cheese,clove,egg,chees,pepper,gra,sea,black,#NAME?,c,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,yolk,vanilla,white,tea,lemon,de,dri,sugar,extract,flour,egg,of,zest,gra,butter,lavender,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,crumbs,onion,rum,fresh,chopped,garlic,white,water,co,round,tomato,de,dri,season,red,ketchup,basil,king,bread,cheese,clove,cooking,egg,chees,provolone,chop,spray,sea,beef,c,hot,ground,,,,,,,,,,,,,,,,,,,,,,,,,
40,oil,cayenne,taste,ice,juic,fresh,parsley,chopped,herb,ju,minc,garlic,tea,co,round,lemon,oregano,her,juice,de,berry,cranberry,dri,salt,broth,shallot,oliv,cayenn,past,rosemary,slice,shell,gin,chervil,herbs,bacon,sel,clove,paste,drip,oelek,bean,pepper,rose,chile,zest,chop,black,coarse,shallotssalt,c,hot,chicken,ground,,,
